,APE,year,month
446,-7093299.647330658,1987.0,3.0
447,-7042543.785758242,1987.0,4.0
448,-7020444.177035558,1987.0,5.0
449,-6976385.309136343,1987.0,6.0
450,-6980783.930294187,1987.0,7.0
451,-7025325.30812686,1987.0,8.0
452,-6988637.929216392,1987.0,9.0
453,-7074661.422738426,1987.0,10.0
454,-6930192.143476781,1987.0,11.0
455,-6775364.468114679,1987.0,12.0
456,-6792245.384803332,1988.0,1.0
457,-6861890.259135716,1988.0,2.0
458,-6827484.879780008,1988.0,3.0
459,-6815594.026253837,1988.0,4.0
460,-6798869.687132558,1988.0,5.0
461,-6768869.189337253,1988.0,6.0
462,-6908498.5821539415,1988.0,7.0
463,-6917747.206382265,1988.0,8.0
464,-6943334.841120859,1988.0,9.0
465,-6924945.530935817,1988.0,10.0
466,-6902225.936315485,1988.0,11.0
467,-6776513.082723936,1988.0,12.0
468,-6815583.852994246,1989.0,1.0
469,-6812809.708831929,1989.0,2.0
470,-6867482.512806364,1989.0,3.0
471,-6906163.844939734,1989.0,4.0
472,-6845275.062641473,1989.0,5.0
473,-6788386.8501082705,1989.0,6.0
474,-6805661.113122549,1989.0,7.0
475,-6812676.38532618,1989.0,8.0
476,-6898070.485936217,1989.0,9.0
477,-6886207.509201919,1989.0,10.0
478,-6893382.516469351,1989.0,11.0
479,-6663158.676786289,1989.0,12.0
480,-6722822.163703869,1990.0,1.0
481,-6779921.880201904,1990.0,2.0
482,-6865508.2571494505,1990.0,3.0
483,-6820807.305305587,1990.0,4.0
484,-6767630.354926921,1990.0,5.0
485,-6775671.375661698,1990.0,6.0
486,-6839978.031992445,1990.0,7.0
487,-6804537.150143614,1990.0,8.0
488,-6787045.437120092,1990.0,9.0
489,-6792521.143538248,1990.0,10.0
490,-6729471.911156977,1990.0,11.0
491,-6660208.513697321,1990.0,12.0
492,-6668637.60916566,1991.0,1.0
493,-6657495.145378428,1991.0,2.0
494,-6633413.958244315,1991.0,3.0
495,-6702754.824886113,1991.0,4.0
496,-6670532.043880564,1991.0,5.0
497,-6675815.893526775,1991.0,6.0
498,-6722776.3986894945,1991.0,7.0
499,-6748545.239249454,1991.0,8.0
500,-6750035.942217053,1991.0,9.0
501,-6815502.410065698,1991.0,10.0
502,-6814348.40967044,1991.0,11.0
503,-6705451.061827811,1991.0,12.0
504,-6696549.140193134,1992.0,1.0
505,-6738471.65897384,1992.0,2.0
506,-6558933.668731369,1992.0,3.0
507,-6780252.100724442,1992.0,4.0
508,-6817961.954487526,1992.0,5.0
509,-6834286.482415669,1992.0,6.0
510,-6855614.360323849,1992.0,7.0
511,-6854589.2595936,1992.0,8.0
512,-6879632.705421732,1992.0,9.0
513,-6922299.515141779,1992.0,10.0
514,-7009640.506883384,1992.0,11.0
515,-6822439.826481845,1992.0,12.0
516,-6653900.392411745,1993.0,1.0
517,-6694771.4017577255,1993.0,2.0
518,-6644774.953886728,1993.0,3.0
519,-6812071.398267648,1993.0,4.0
520,-6768391.684436078,1993.0,5.0
