,APE,year,month
418,-1.8043149573556212e+24,1984.0,11.0
419,-1.759246613420283e+24,1984.0,12.0
420,-1.7755063918569322e+24,1985.0,1.0
421,-1.7816328872375598e+24,1985.0,2.0
422,-1.7558396325312522e+24,1985.0,3.0
423,-1.759791121570386e+24,1985.0,4.0
424,-1.7482770737211882e+24,1985.0,5.0
425,-1.7503837518485903e+24,1985.0,6.0
426,-1.7613553904545412e+24,1985.0,7.0
427,-1.772820511637748e+24,1985.0,8.0
428,-1.775488283179204e+24,1985.0,9.0
429,-1.7915334103365685e+24,1985.0,10.0
430,-1.7894889059619997e+24,1985.0,11.0
431,-1.7666366353202565e+24,1985.0,12.0
432,-1.7803147754957347e+24,1986.0,1.0
433,-1.772113419625121e+24,1986.0,2.0
434,-1.802933436567846e+24,1986.0,3.0
435,-1.8132597281967903e+24,1986.0,4.0
436,-1.7995611005211048e+24,1986.0,5.0
437,-1.8012488090143835e+24,1986.0,6.0
438,-1.796399141399543e+24,1986.0,7.0
439,-1.8125440149061257e+24,1986.0,8.0
440,-1.8114062139783765e+24,1986.0,9.0
441,-1.8173015964813612e+24,1986.0,10.0
442,-1.8183271350018884e+24,1986.0,11.0
443,-1.7777807674545244e+24,1986.0,12.0
444,-1.7877947464435735e+24,1987.0,1.0
445,-1.8287510752937714e+24,1987.0,2.0
446,-1.8062197590040186e+24,1987.0,3.0
447,-1.7932954156637695e+24,1987.0,4.0
448,-1.787668027575605e+24,1987.0,5.0
449,-1.7764489896503065e+24,1987.0,6.0
450,-1.777569043340786e+24,1987.0,7.0
451,-1.788910946366822e+24,1987.0,8.0
452,-1.7795689656260123e+24,1987.0,9.0
453,-1.801473768956367e+24,1987.0,10.0
454,-1.764686479578334e+24,1987.0,11.0
455,-1.725261554595089e+24,1987.0,12.0
456,-1.7295600682331841e+24,1988.0,1.0
457,-1.7472942616814818e+24,1988.0,2.0
458,-1.7385333634961508e+24,1988.0,3.0
459,-1.7355055068344807e+24,1988.0,4.0
